T22311149/TSK,先読みｾﾝｽ,G10555,フレキシブル日本株ファンド,
T42311139/TSK,日本株DX,G09474,ピクテ日本厳選株アルファ･プラス 円,
T04316136/TSK,日本ｽﾄﾗα通,,,
T09311151/TSK,ﾈｸｽﾄﾆｯﾎﾟﾝOP,G10782,ネクスト・ニッポン・オープン,
T35312066/TSK,株ﾌﾟﾗ通,,,
T03313003/TSK,日本株ｸﾞﾛｰｽ,,,
T47313994/TSK,MHAMｼﾞｬﾊﾟﾝOP,G11816 ,ＭＨＡＭジャパンオープン,
T0131713C/TSK,ﾉﾑﾗTHENIPPON,G10142 ,ノムラ　ＴＨＥ　ＮＩＰＰＯＮ,
T32311083/TSK,日株ｱｸﾃｨﾌﾞ,G06768,フィデリティ･日本株･アクティブ･ファンド,
T03312164/TSK,Jｱｸﾃｨﾌﾞ,,,
TAD311166/TSK,あすなろ,G11735 ,いちよし中小型成長株ファンド,
T80311138/TSK,少数精鋭日本,G09348,スパークス・少数精鋭・日本株ファンド,
T02311037/TSK,ｸﾞﾛｰｲﾝｸﾞﾍﾞﾝﾁ,G03684,日興グローイング・ベンチャーファンド,
T47311095/TSK,JAPASIA,G07495 ,ＤＩＡＭアジア関連日本株ファンド,
T4831B987/TSK,日本小型株,G07732,ブラックロック日本小型株オープン,
T32312004/TSK,ｱｸﾞﾚｼ,G01316 ,ジャパン・アグレッシブ・グロース,
T0331J13M/TSK,日本株元毎,,,
T12311001/TSK,ﾀｰﾐｶﾞﾝ,G08104,明治安田日本株式ファンド,
T4831195B/TSK,ｱｸﾃｨﾌﾞｼﾞｬﾊ,,,
T8931105C/TSK,jcool,G04683 ,ＳＢＩ小型成長株ファンド ジェイクール,
T04312157/TSK,ﾊｲｸｵ日本株,G11198,ハイクオリティ日本株セレクト-叡智の和,
T47314171/TSK,B･D･F,G12395,ビッグデータ活用　日本中小型株式ファンド,
T03312005/TSK,BW変革,,,
T8931105A/TSK,ｿﾌﾄﾊﾞﾝｸ&SBI,G04518,ソフトバンク＆ＳＢＩグループ株式ファンド,
T1731196A/TSK,JPM中小型株,,,
T22311114/TSK,日株厳F円,,,
